127.0.0.1 - - [29/Apr/2020:18:22:32 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Apr/2020:18:22:33 +0530] "GET /sensorRest/ HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [29/Apr/2020:18:22:33 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Apr/2020:18:22:37 +0530] "GET /sensorRest/webapi/sensors HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [29/Apr/2020:18:37:12 +0530] "GET /sensorRest/ HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [29/Apr/2020:18:37:12 +0530] "GET /sensorRest/webapi/sensors HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [29/Apr/2020:18:40:35 +0530] "GET /sensorRest/ HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [29/Apr/2020:18:40:35 +0530] "GET /sensorRest/webapi/sensors HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [29/Apr/2020:18:44:02 +0530] "GET /sensorRest/ HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [29/Apr/2020:18:44:02 +0530] "GET /sensorRest/webapi/sensors HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [29/Apr/2020:18:47:44 +0530] "GET /sensorRest/ HTTP/1.1" 200 1567
0:0:0:0:0:0:0:1 - - [29/Apr/2020:18:47:44 +0530] "GET /sensorRest/webapi/sensors HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [29/Apr/2020:18:48:10 +0530] "GET /sensorRest/ HTTP/1.1" 200 1561
0:0:0:0:0:0:0:1 - - [29/Apr/2020:18:48:10 +0530] "GET /sensorRest/webapi/sensors HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [29/Apr/2020:18:48:24 +0530] "GET /sensorRest/ HTTP/1.1" 200 1444
0:0:0:0:0:0:0:1 - - [29/Apr/2020:18:48:24 +0530] "GET /sensorRest/webapi/sensors HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [29/Apr/2020:18:51:19 +0530] "GET /sensorRest/ HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [29/Apr/2020:18:51:19 +0530] "GET /sensorRest/webapi/sensors HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [29/Apr/2020:19:03:29 +0530] "GET /sensorRest/ HTTP/1.1" 200 1763
0:0:0:0:0:0:0:1 - - [29/Apr/2020:19:03:29 +0530] "GET /sensorRest/webapi/sensors HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [29/Apr/2020:19:03:33 +0530] "GET /sensorRest/ HTTP/1.1" 200 1763
0:0:0:0:0:0:0:1 - - [29/Apr/2020:19:03:33 +0530] "GET /sensorRest/webapi/sensors HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [29/Apr/2020:19:04:05 +0530] "GET /sensorRest/ HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [29/Apr/2020:19:04:05 +0530] "GET /sensorRest/webapi/sensors HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [29/Apr/2020:19:04:34 +0530] "GET /sensorRest/ HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [29/Apr/2020:19:04:34 +0530] "GET /sensorRest/webapi/sensors HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [29/Apr/2020:19:05:50 +0530] "GET /sensorRest/ HTTP/1.1" 200 2085
0:0:0:0:0:0:0:1 - - [29/Apr/2020:19:05:51 +0530] "GET /sensorRest/webapi/sensors HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [29/Apr/2020:19:06:39 +0530] "GET /sensorRest/ HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [29/Apr/2020:19:06:39 +0530] "GET /sensorRest/webapi/sensors HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [29/Apr/2020:19:07:52 +0530] "GET /sensorRest/ HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [29/Apr/2020:19:07:52 +0530] "GET /sensorRest/webapi/sensors HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [29/Apr/2020:19:11:32 +0530] "GET /sensorRest/ HTTP/1.1" 200 1860
0:0:0:0:0:0:0:1 - - [29/Apr/2020:19:11:32 +0530] "GET /sensorRest/webapi/sensors HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [29/Apr/2020:19:12:25 +0530] "GET /sensorRest/ HTTP/1.1" 200 1847
0:0:0:0:0:0:0:1 - - [29/Apr/2020:19:12:25 +0530] "GET /sensorRest/webapi/sensors HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [29/Apr/2020:19:12:33 +0530] "GET /sensorRest/ HTTP/1.1" 200 1843
0:0:0:0:0:0:0:1 - - [29/Apr/2020:19:12:33 +0530] "GET /sensorRest/webapi/sensors HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [29/Apr/2020:19:14:32 +0530] "GET /sensorRest/ HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [29/Apr/2020:19:14:32 +0530] "GET /sensorRest/webapi/sensors HTTP/1.1" 200 226
